method,budget,split,accuracy,ci95_low,ci95_high,n_predictions
anchor_posterior,1000,iid_restricted,0.18933333333333333,0.18266458333333332,0.19641666666666666,12000
anchor_posterior,1000,ood_high_high,0.0,0.0,0.0,12000
anchor_posterior,5000,iid_restricted,0.8805,0.8745833333333334,0.8860854166666666,12000
anchor_posterior,5000,ood_high_high,0.74075,0.7329166666666667,0.7483354166666666,12000
anchor_symbolic,1000,iid_restricted,0.199,0.19216458333333333,0.20566666666666666,12000
anchor_symbolic,1000,ood_high_high,0.0,0.0,0.0,12000
anchor_symbolic,5000,iid_restricted,0.877,0.8711666666666666,0.8828333333333334,12000
anchor_symbolic,5000,ood_high_high,0.7325,0.7244166666666667,0.7400833333333333,12000
direct_sum,1000,iid_restricted,0.14325,0.13666458333333334,0.14933333333333335,12000
direct_sum,1000,ood_high_high,0.014083333333333333,0.012,0.01625,12000
direct_sum,5000,iid_restricted,0.318,0.30958125,0.32666666666666666,12000
direct_sum,5000,ood_high_high,0.0031666666666666666,0.0021666666666666666,0.00425,12000
symbolic_sum,1000,iid_restricted,0.17283333333333334,0.16599791666666666,0.17941666666666667,12000
symbolic_sum,1000,ood_high_high,0.0,0.0,0.0,12000
symbolic_sum,5000,iid_restricted,0.9,0.8945833333333333,0.9055,12000
symbolic_sum,5000,ood_high_high,0.8251666666666667,0.81825,0.8317520833333333,12000
