method,budget,split,accuracy_mean,accuracy_std,macro_f1_mean,nll_mean,confidence_mean,train_seconds_mean,n_runs
anchor_posterior,1000,iid_restricted,0.18933333333333335,0.05010010811698246,0.1417872080229811,2.2457783222198486,0.19370138645172116,10.47292584987978,3
anchor_posterior,1000,ood_high_high,0.0,0.0,0.0,3.7581690152486167,0.1392767031987508,10.47292584987978,3
anchor_posterior,5000,iid_restricted,0.8805,0.02517563306056077,0.6437815479774459,0.4030819038550059,0.8565784692764282,42.995440234430134,3
anchor_posterior,5000,ood_high_high,0.7407499999999999,0.08426001424163188,0.36633557631797214,0.9031346042950948,0.7447385787963867,42.995440234430134,3
anchor_symbolic,1000,iid_restricted,0.19899999999999998,0.05160486895633006,0.14781182652600017,2.2363949616750083,0.18719728787740067,10.15230118483305,3
anchor_symbolic,1000,ood_high_high,0.0,0.0,0.0,3.7251803874969482,0.1355982025464376,10.15230118483305,3
anchor_symbolic,5000,iid_restricted,0.8769999999999999,0.009820259670701229,0.6409757392685168,0.4076934854189555,0.8557483553886414,40.745152131964765,3
anchor_symbolic,5000,ood_high_high,0.7324999999999999,0.04881598098983566,0.3646082374421857,0.9074597756067911,0.7437350948651632,40.745152131964765,3
direct_sum,1000,iid_restricted,0.14325,0.01669393602479654,0.029693231576652,2.578260819117228,0.21184379855791727,4.345781743526459,3
direct_sum,1000,ood_high_high,0.014083333333333335,0.011901505507007646,0.0018262983988685665,4.83633279800415,0.21926145752271012,4.345781743526459,3
direct_sum,5000,iid_restricted,0.318,0.05929323317209139,0.2316349382751208,2.030630429585775,0.3661680022875468,5.643938545448084,3
direct_sum,5000,ood_high_high,0.0031666666666666666,0.005269803917920792,0.0011058592960058,8.473527272542318,0.4012799064318339,5.643938545448084,3
symbolic_sum,1000,iid_restricted,0.1728333333333333,0.023644943081626017,0.11288825377839436,2.3295280933380127,0.16835504273573554,3.822867008857429,3
symbolic_sum,1000,ood_high_high,0.0,0.0,0.0,4.762442747751872,0.14800688624382016,3.822867008857429,3
symbolic_sum,5000,iid_restricted,0.9,0.007040063920164303,0.6672789613329438,0.3596838315327962,0.8359635273615519,5.894882559776306,3
symbolic_sum,5000,ood_high_high,0.8251666666666667,0.041061184022545355,0.3913812514061594,0.6191929976145426,0.7464563846588135,5.894882559776306,3
