run_id,split,true_sum,accuracy,n,confidence
symbolic_sum_b128_s123,iid_restricted,1,0.0,2,0.09980181
symbolic_sum_b128_s123,iid_restricted,2,0.0,5,0.099649064
symbolic_sum_b128_s123,iid_restricted,3,0.0,9,0.0995703
symbolic_sum_b128_s123,iid_restricted,4,0.0,8,0.099699385
symbolic_sum_b128_s123,iid_restricted,5,0.0,12,0.099690646
symbolic_sum_b128_s123,iid_restricted,6,0.0,18,0.099484496
symbolic_sum_b128_s123,iid_restricted,7,0.0,16,0.09961588
symbolic_sum_b128_s123,iid_restricted,8,0.0,17,0.09956195
symbolic_sum_b128_s123,iid_restricted,9,1.0,13,0.09963208
symbolic_sum_b128_s123,iid_restricted,10,0.0,15,0.0996883
symbolic_sum_b128_s123,iid_restricted,11,0.0,7,0.09969489
symbolic_sum_b128_s123,iid_restricted,12,0.0,3,0.09951172
symbolic_sum_b128_s123,iid_restricted,13,0.0,3,0.09975522
symbolic_sum_b128_s123,ood_high_high,10,0.0,5,0.099582575
symbolic_sum_b128_s123,ood_high_high,11,0.0,10,0.0995438
symbolic_sum_b128_s123,ood_high_high,12,0.0,12,0.09956971
symbolic_sum_b128_s123,ood_high_high,13,0.0,20,0.09953098
symbolic_sum_b128_s123,ood_high_high,14,0.0,23,0.0996836
symbolic_sum_b128_s123,ood_high_high,15,0.0,27,0.09965763
symbolic_sum_b128_s123,ood_high_high,16,0.0,16,0.0997583
symbolic_sum_b128_s123,ood_high_high,17,0.0,9,0.09939069
symbolic_sum_b128_s123,ood_high_high,18,0.0,6,0.0996057
