run_id,split,true_sum,accuracy,n,confidence
anchor_posterior_b64_s1,iid_restricted,0,0.0,2,0.09928519
anchor_posterior_b64_s1,iid_restricted,1,0.0,2,0.099455014
anchor_posterior_b64_s1,iid_restricted,2,0.0,2,0.09937033
anchor_posterior_b64_s1,iid_restricted,4,0.0,6,0.099438585
anchor_posterior_b64_s1,iid_restricted,5,0.0,5,0.099416204
anchor_posterior_b64_s1,iid_restricted,6,0.0,7,0.09943156
anchor_posterior_b64_s1,iid_restricted,7,0.0,3,0.09941263
anchor_posterior_b64_s1,iid_restricted,8,0.0,8,0.099419214
anchor_posterior_b64_s1,iid_restricted,9,1.0,6,0.09940673
anchor_posterior_b64_s1,iid_restricted,10,0.0,13,0.099397294
anchor_posterior_b64_s1,iid_restricted,11,0.0,3,0.09935868
anchor_posterior_b64_s1,iid_restricted,12,0.0,5,0.099398814
anchor_posterior_b64_s1,iid_restricted,13,0.0,2,0.09943767
anchor_posterior_b64_s1,ood_high_high,10,0.0,1,0.099396124
anchor_posterior_b64_s1,ood_high_high,11,0.0,6,0.09940368
anchor_posterior_b64_s1,ood_high_high,12,0.0,8,0.09940241
anchor_posterior_b64_s1,ood_high_high,13,0.0,9,0.09937687
anchor_posterior_b64_s1,ood_high_high,14,0.0,4,0.09942491
anchor_posterior_b64_s1,ood_high_high,15,0.0,13,0.09939495
anchor_posterior_b64_s1,ood_high_high,16,0.0,13,0.099419765
anchor_posterior_b64_s1,ood_high_high,17,0.0,6,0.09940962
anchor_posterior_b64_s1,ood_high_high,18,0.0,4,0.09941976
direct_sum_b64_s1,iid_restricted,0,0.0,2,0.06136377
direct_sum_b64_s1,iid_restricted,1,0.0,2,0.06078321
direct_sum_b64_s1,iid_restricted,2,0.0,2,0.06070382
direct_sum_b64_s1,iid_restricted,4,0.0,6,0.06069374
direct_sum_b64_s1,iid_restricted,5,0.0,5,0.06083423
direct_sum_b64_s1,iid_restricted,6,0.0,7,0.060611367
direct_sum_b64_s1,iid_restricted,7,0.0,3,0.060589198
direct_sum_b64_s1,iid_restricted,8,0.0,8,0.060719237
direct_sum_b64_s1,iid_restricted,9,0.0,6,0.06080963
direct_sum_b64_s1,iid_restricted,10,1.0,13,0.060796432
direct_sum_b64_s1,iid_restricted,11,0.0,3,0.06088308
direct_sum_b64_s1,iid_restricted,12,0.0,5,0.06085428
direct_sum_b64_s1,iid_restricted,13,0.0,2,0.060582772
direct_sum_b64_s1,ood_high_high,10,1.0,1,0.061014704
direct_sum_b64_s1,ood_high_high,11,0.0,6,0.060748424
direct_sum_b64_s1,ood_high_high,12,0.0,8,0.060809623
direct_sum_b64_s1,ood_high_high,13,0.0,9,0.06086521
direct_sum_b64_s1,ood_high_high,14,0.0,4,0.060527097
direct_sum_b64_s1,ood_high_high,15,0.0,13,0.06084275
direct_sum_b64_s1,ood_high_high,16,0.0,13,0.06055052
direct_sum_b64_s1,ood_high_high,17,0.0,6,0.060651723
direct_sum_b64_s1,ood_high_high,18,0.0,4,0.06050404
